"order","species","specimen.no.","fL","fPW","fDW","fCr.Ca","fM.L","tbL","tbPW","tbDW","tbCr.Ca","tbM.L","tmtL","tmtD.P","tmtM.L","fCIRC","tbCIRC","fCSA","tbCSA"
"Galliformes","Alectura lathami","B46568 ",1.50748073629945,-1.19782599050993,-0.11542539318552,-2.0016387389574,-0.758975632606093,0.660701655182963,-0.228980092732382,-1.73274916585498,-1.19723056353725,-2.24086842802323,1.53388491049596,-2.76074388730914,-1.07206742058324,-0.814509115624779,0.108847463725841,-0.25354958400316,0.536782083478483
"Anseriformes","Cereopsis novaehollandiae","B39638",1.29860896127389,0.200940102743515,-0.10729387123438,-0.75003618711853,-0.904702062118734,2.08800975177589,-0.3279652334032,-0.182052149512591,-1.08482822834925,-0.638810552008306,1.47402973971888,-0.902228002460455,-1.08482822834925,0.522034971085689,0.204839297081565,1.10460602143195,0.872668669657221
"Galliformes","Leipoa ocellata","B55458",1.48048757172793,0.118045040102419,-0.0715182916202985,-0.749455527602304,-0.824563613761313,1.84081163784352,-0.156417735406785,-0.435340198082368,-1.14147532452803,-0.931777084396259,1.33492063559206,-1.3736098366753,-0.942346649417696,0.422952893219268,0.169145302114075,1.03333527164299,0.536729445153161
"Anseriformes","Anseranas semipalmata","B48035",1.47651736274538,-0.00961340698082029,-0.0686782809603649,-0.793007465388544,-0.957570038646406,1.96277413853486,-0.199040098823609,-0.433004731357137,-1.11850040545904,-0.936108309029217,1.66592277442774,-1.53161702002525,-0.957570038646406,0.271320056423874,0.191546945258377,0.80974145889476,0.377431028085935
"Casuariiformes","Dromaius novaehollandiae","FUR291",NA,NA,NA,NA,NA,2.93035922200735,-0.283390895473581,0.635209107500821,-1.08947848721412,0.184281625315899,1.65834968534501,-0.0703605930576817,-1.3627718222138,NA,NA,NA,NA
"Casuariiformes","Dromaius novaehollandiae","FUR293",NA,NA,NA,NA,NA,3.05174577918825,-0.311792295940853,0.792008277576833,-1.04309124246517,0.356288761110866,1.69894281145263,0.00399232088337984,-1.4050712386336,NA,NA,NA,NA
"Casuariiformes","Dromaius novaehollandiae","FUR294",0.7315274376822,1.07958957125861,-0.623333400836178,0.446302778622342,-1.31648058139612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Casuariiformes","Dromaius novaehollandiae","FUR163",0.716745069472102,1.04730722636358,-0.714805883235909,0.329745687632352,-1.37875390910359,3.0314385882391,-0.959002843747951,0.72885349524505,-1.7860191977159,0.200009365976381,1.19336393783656,-0.0719243495072603,-1.89438723443769,1.50082600226828,-0.492106875160849,3.38033334485887,1.14021814783992
"Casuariiformes","Casuarius casuarius","FUR180",0.77289398701539,0.961640046191977,-0.768653589875859,0.443696954657122,-1.41651001125564,2.96682481726532,-0.725209553288861,0.729754331381901,-1.58054952321215,0.25877461616311,0.98439983424939,0.120768943143667,-1.52969110597866,1.52792050587313,-0.285941481235852,3.44064602008706,1.54607751794958
"Struthioniformes","Struthio camelus","B13115",0.985343897414144,1.72780070918963,-0.253758754202792,0.765553897970724,-0.806415571813911,3.33822530152617,-0.351082132315969,1.3069162455968,-1.30437928193749,0.600142813325085,1.37009981855775,0.304297430234144,-1.37382867020937,2.12128249007984,-0.112297988460688,4.51079292554697,1.90967984944412
"Struthioniformes","Struthio camelus","B14264",1.35391937451953,1.60576655861642,0.147714426409657,0.653440463684264,-0.597020122940782,3.17346813375429,0.0516218176826119,1.07004059048258,-0.919009508891624,0.450757984241394,1.73111804447788,0.259536177977175,-1.0469904709855,1.93049080911993,0.248090473177422,4.27609177021773,2.43748140440798
"Struthioniformes","Struthio camelus","R2711",1.3084191207359,1.36498305399337,0.10773039161115,0.576110669759266,-0.727257392977181,3.00908294812838,0.0328655126469758,0.944362181526996,-0.981093890690797,0.243284745291073,1.77760004323017,0.10701986577089,-1.04823319352843,1.73116658955832,0.210267252373877,3.97770371134167,2.23306954961241
"Struthioniformes","Struthio camelus","B34253",1.44972084191767,1.55290970802036,0.208250339720477,0.777685231089088,-0.545657934849905,3.17539533584693,0.148648666129775,1.062818232571,-0.918033886150953,0.453358892769983,1.86460517194233,0.0493012444296989,-0.945339336841221,1.8697588777445,0.301474184259054,4.19685323135428,2.3021878339406
"Struthioniformes","Struthio camelus","B747",1.36847404737616,1.28251475861593,0.0734756565633908,0.274874248153546,-0.642200637056583,2.92423032996938,-1.24580799427354,0.808056779020813,-0.993465288267067,0.0553473373095247,1.8235360966237,-0.468803741053615,-1.14881572828623,NA,NA,NA,NA
"Struthioniformes","Struthio camelus","R2385",1.34043526222195,1.33138228520259,0.095864452625212,0.628806014353797,-0.401612808317352,3.00835214848397,0.0453370580600603,0.981684286362119,-0.921069805028631,0.354369168652037,1.74374751696901,-0.0455710635241581,-0.975137026298906,NA,NA,NA,NA
"Casuariiformes","Casuarius casuarius","B12907",1.20006928228844,0.986946298406496,-0.146338586692193,0.346779543574397,-0.881973041091455,2.91090732081719,-0.233198712074487,0.689839085495132,-0.972779489049636,0.339636656062017,1.42407825987908,0.2014863175812,-0.965203695241179,1.54037843980651,0.143545717967016,3.29305238990649,1.92062947695198
"Casuariiformes","Casuarius casuarius","B13452",2.57372945441081,0.947466534904881,1.14590663459434,0.395579424341116,0.480635823562646,2.79510646252739,1.18063234596817,0.68475738338448,0.416784351576113,0.298171236873785,2.84323892628294,0.00938844884581816,0.452759454034391,1.45832664083498,1.62481484639573,3.22637703143701,3.49793791075543
"Casuariiformes","Dromaius novaehollandiae","B31685",2.5945834402199,1.21231831349973,1.16184909227553,0.375698611168088,0.510087127878443,3.10943829838561,1.07547771530775,0.726407840172824,0.127995370955587,0.257450783497759,3.0833181061717,0.00134305664457331,0.127995370955587,1.63174878902827,1.37636397416847,3.57154549453947,3.08184795386224
"Casuariiformes","Dromaius novaehollandiae","R1815",2.42586835947966,1.06986671804312,1.05632185566099,0.387339106310631,0.434030611868388,3.07882088106561,0.987578703241386,0.749632042553586,0.00550023082922793,0.235533093442627,2.9784755172606,-0.0911511368124235,-0.0249589766554807,NA,NA,NA,NA
"Casuariiformes","Dromaius novaehollandiae","R4240",2.34107890484845,-0.0692195127925277,0.98046103177408,-0.765506413357141,0.280296278555487,1.70992149247632,0.922891179952602,-0.506534446787791,-0.0073857938962933,-1.01412904997234,2.85280098766147,-1.30181112242412,-0.215386365107939,0.313202614020541,1.25565283717728,2.24816153432661,2.99541067127628
"Casuariiformes","Dromaius novaehollandiae","B19058",2.43402236044555,-0.278485097923084,1.01471023029698,-0.842420547003023,0.419119339903281,1.71316106045491,1.02350536174981,-0.451197795610402,0.14417629322893,-1.08468513976401,2.92150062021455,-1.28965506798748,-0.0406801191682129,0.305655079875423,1.36334944046668,2.3040149121516,3.17512500607618
"Casuariiformes","Dromaius novaehollandiae","R6947",2.46831603734711,-0.618459305077932,1.05327226294123,-1.18539517449986,0.336515216742155,1.32999449201322,1.04658327479044,-0.938535096568335,0.0499701540774496,-1.52989958281834,2.97995105006866,-1.73506063158212,-0.156271586434157,NA,NA,NA,NA
"Casuariiformes","Dromaius novaehollandiae","B12822",2.44467181123772,-0.711109021354583,1.05470097538852,-1.33649409981371,0.275044551919295,1.28014635088701,1.03798749441478,-0.924156112417783,0.0559090220026244,-1.55963765112792,2.98976589183853,-1.81341817190402,-0.100744788042752,-0.260433039974696,1.29804428742291,1.31977872120833,2.98113835591901
