species,specimen no.,side,hlr,hls,hlp,hcr,hcs,hcp,hdr,hds,hdp,klf,kls,kle,kcf,kcs,kce,ilf,ils,ile,icf,ics,ice
Alectura lathami,B19290,R,77.70,36.92,20.74,107.11,116.37,120.12,29.77,17.90,15.48,35.38,91.23,128.85,128.75,193.92,137.34,18.64,138.98,168.69,19.57,157.46,171.28
Leipoa ocellata,B20194,L,54.49,38.97,20.06,106.99,113.87,127.03,22.02,17.25,19.61,64.40,105.84,149.40,139.38,155.36,156.31,13.06,137.38,164.10,0.72,173.99,177.23
Anseranas semipalmata,B48035,R,55.36,29.75,21.30,122.74,137.74,153.02,37.06,28.64,26.43,45.00,106.00,121.72,111.17,128.16,129.32,9.62,157.25,169.62,3.34,177.58,178.81
Cereopsis novaehollandiae,B25677,L,73.78,43.00,24.88,110.01,116.57,116.80,21.98,20.83,17.22,44.75,110.63,136.36,133.96,140.19,142.42,9.81,166.90,174.62,4.51,178.41,177.88
Anhima cornuta,B12574,L,72.74,38.75,23.79,106.76,116.62,121.42,25.75,15.74,14.96,38.03,106.97,144.66,132.01,147.11,151.92,7.73,165.72,172.46,5.19,172.33,171.69
Struthio camelus,B13115,L,46.66,35.57,25.81,117.04,126.80,127.69,35.10,29.52,27.44,43.53,109.60,130.29,169.31,140.35,138.02,24.74,158.10,170.50,1.23,179.93,178.47
Casuarius casuarius,B13452,L,46.87,33.34,20.57,124.95,119.09,120.33,22.22,24.02,33.55,46.09,113.87,127.55,121.25,124.29,125.05,26.99,164.42,174.04,9.03,174.51,179.36
Dromaius novaehollandiae,B19058,L,59.56,44.18,24.29,119.35,126.31,136.35,46.21,35.79,27.92,57.83,119.83,135.71,115.29,128.10,112.86,31.25,162.91,169.81,14.07,176.80,176.30
Genyornis newtoni,FU2763,R,59.58,44.34,37.71,145.40,149.08,154.34,43.00,38.64,37.00,64.56,106.10,120.71,109.08,114.07,113.90,41.52,160.29,166.01,16.28,174.52,176.46
,,,,,,,,,,,,,,,,,,,,,,,
