species,specimen no.,fL,fPW,fDW,fCr-Ca,fM-L,tbL,tbPW,tbDW,tbCr-Ca,tbM-L,tmtL,tmtD-P,tmtM-L,,,,,
Alectura lathami,B46568 ,89.70,21.00,17.70,9.40,9.30,134.70,15.80,12.30,6.00,7.40,92.10,4.40,6.80,,,,,
Cereopsis novaehollandiae,B39638,82.40,22.00,20.20,8.50,9.10,145.20,16.20,15.00,7.60,9.50,98.20,7.30,7.60,,,,,
Leipoa ocellata,B55458,81.20,20.00,17.20,8.40,8.10,112.00,15.80,11.50,5.90,7.00,70.20,4.50,2.20,,,,,
Anseranas semipalmata,B48035,84.40,19.70,18.00,9.00,7.40,141.60,15.80,12.90,6.30,7.80,102.00,4.30,2.20,,,,,
Dromaius novaehollandiae,FUR291,,,,,,402.00,51.50,40.50,23.00,25.80,359.00,20.00,17.50,,,,,
Dromaius novaehollandiae,FUR293,,,,,,434.00,56.10,45.30,27.00,29.30,419.00,20.60,18.80,,,,,
Dromaius novaehollandiae,FUR294,238.00,61.60,61.40,32.70,30.70,,,,,,,,,,,,,
Dromaius novaehollandiae,FUR163,226.00,53.90,54.00,26.30,27.80,392.00,42.30,39.20,18.50,23.10,364.00,17.60,16.60,,,,,
Casuarius casuarius,FUR180,242.00,51.70,51.80,30.80,27.10,384.00,54.10,41.00,23.00,25.60,299.00,22.30,24.20,,,,,
Struthio camelus,B13115,309.00,101.30,89.50,38.70,51.50,507.00,81.20,66.50,31.30,32.80,454.00,24.40,29.20,,,,,
Struthio camelus,B14264,299.00,100.30,89.50,38.70,42.50,481.00,81.30,58.70,30.80,31.60,436.00,26.10,29.20,,,,,
Struthio camelus,R2711,304.00,96.40,91.50,43.80,39.70,499.00,84.90,63.30,30.80,31.40,486.00,27.40,28.80,,,,,
Struthio camelus,B34253,317.00,106.60,91.60,49.10,43.10,540.00,86.30,65.30,29.70,35.50,480.00,23.70,28.90,,,,,
Struthio camelus,B747,295.00,94.50,80.80,34.50,39.50,488.00,21.60,58.80,27.80,27.70,465.00,16.40,23.80,,,,,
Struthio camelus,R2385,310.00,95.90,89.30,47.50,54.30,513.00,84.90,67.60,32.30,36.10,464.00,24.20,30.60,,,,,
Casuarius casuarius,B12907,231.00,53.30,60.10,28.10,28.80,365.00,55.10,39.60,26.30,27.90,289.00,24.30,26.50,,,,,
Casuarius casuarius,B13452,236.00,58.00,56.60,33.40,29.10,368.00,58.60,44.60,27.30,30.30,309.00,22.70,27.60,,,,,
Dromaius novaehollandiae,B31685,238.00,62.10,56.80,26.90,29.60,414.00,52.10,38.20,20.20,23.90,388.00,20.20,28.50,,,,,
Dromaius novaehollandiae,R1815,225.00,56.20,57.20,28.40,30.70,419.00,53.40,40.80,20.00,24.40,391.00,17.60,19.40,,,,,
Dromaius novaehollandiae,R4240,223.00,63.80,57.20,31.80,28.40,378.00,54.00,41.20,21.30,24.80,372.00,18.60,17.30,,,,,
Dromaius novaehollandiae,B19058,234.00,58.00,56.60,33.00,31.20,425.00,57.10,48.80,23.70,25.90,381.00,21.10,19.70,,,,,
Dromaius novaehollandiae,R6947,247.00,61.70,60.00,35.00,29.30,433.00,59.60,44.80,22.00,24.80,412.00,20.20,17.90,,,,,
Dromaius novaehollandiae,B12822,218.00,54.20,54.30,29.00,24.90,397.00,53.40,43.80,20.00,23.20,376.00,18.00,17.10,,,,,
Dromaius novaehollandiae,B12823,235.00,59.60,53.30,28.60,27.20,391.00,54.30,42.40,19.90,23.80,374.00,23.30,16.70,,,,,
Dromaius novaehollandiae,B12543,230.00,60.40,56.50,31.90,30.20,413.00,55.20,45.00,21.30,26.50,389.00,21.20,18.00,,,,,
Anseranas semipalmata,B8864,80.50,17.30,15.50,6.40,6.30,140.40,13.60,11.60,5.40,6.80,96.00,4.80,6.30,,,,,
Anseranas semipalmata,B6361,82.40,17.30,15.00,7.70,7.00,136.00,13.50,12.60,5.80,6.60,87.30,5.20,6.90,,,,,
Anseranas semipalmata,B8865,88.30,16.90,15.60,6.90,6.60,146.00,13.50,12.00,5.80,7.10,99.60,5.60,7.20,,,,,
Anseranas semipalmata,B18360,88.10,18.90,15.80,8.00,6.90,140.80,14.30,13.10,6.50,7.00,94.70,5.40,6.90,,,,,
Anseranas semipalmata,B20343,84.20,17.40,16.80,7.50,6.40,143.30,13.20,12.60,6.70,6.50,94.00,5.40,6.60,,,,,
Anseranas semipalmata,B34094,89.10,19.50,16.40,7.60,7.90,152.00,15.30,13.60,6.70,7.70,102.80,6.20,6.90,,,,,
Anseranas semipalmata,B8863,88.10,19.40,16.20,7.50,7.00,154.00,15.20,12.20,6.00,7.20,104.10,5.60,7.40,,,,,
Anseranas semipalmata,B12464,79.40,16.50,16.20,7.60,6.70,130.70,13.80,11.20,5.40,6.60,86.20,5.20,6.50,,,,,
Anseranas semipalmata,B13074,75.30,16.60,14.20,6.90,6.00,125.80,13.80,11.90,5.40,6.40,87.00,4.80,6.90,,,,,
Anseranas semipalmata,B18366,88.20,20.20,17.30,7.90,7.20,148.70,15.10,13.20,6.90,7.20,102.80,6.90,7.50,,,,,
Alectura lathami,B23648,91.90,22.20,19.30,9.60,9.20,140.80,18.00,13.00,6.40,8.00,100.30,5.00,7.30,,,,,
Alectura lathami,B11471,85.40,20.50,17.70,9.70,8.80,127.40,15.20,12.10,6.10,7.60,86.50,4.30,6.40,,,,,
Alectura lathami,B23650,86.70,19.40,16.70,9.20,9.00,128.40,15.20,11.50,5.40,7.00,88.90,3.20,5.90,,,,,
Alectura lathami,B19290,92.00,21.80,18.40,9.30,9.00,137.60,17.50,12.90,6.10,7.80,95.10,4.20,6.80,,,,,
Alectura lathami,R4288,93.70,21.50,18.40,9.10,8.90,144.30,17.30,12.80,6.50,7.80,101.30,4.90,7.00,,,,,
Alectura lathami,B23649,84.80,19.00,17.00,9.10,8.90,130.70,16.10,11.80,5.60,7.20,88.70,3.60,5.70,,,,,
Leipoa ocellata,B31805,82.60,21.50,18.00,9.40,10.00,120.70,17.30,12.80,6.50,7.70,71.70,4.60,7.20,,,,,
Leipoa ocellata,B6721,76.30,19.30,16.10,8.40,8.20,120.50,15.10,11.60,6.70,6.50,73.30,4.50,6.50,,,,,
Leipoa ocellata,B31806,85.60,20.90,16.50,8.90,8.70,126.80,17.70,12.00,5.50,6.80,79.80,4.30,6.30,,,,,
Leipoa ocellata,B23580,81.00,21.10,16.70,8.80,8.60,,,,,,74.30,4.60,7.10,,,,,
Leipoa ocellata,B34172,81.70,19.70,16.80,9.30,8.50,124.50,17.00,12.70,6.20,7.20,76.60,4.50,7.50,,,,,
Leipoa ocellata,B34887.1,82.40,20.30,17.40,9.00,8.80,126.30,17.80,12.90,6.40,6.90,,,,,,,,
Leipoa ocellata,B9276,84.50,20.00,18.00,8.80,8.20,,,,,,75.30,4.50,6.90,,,,,
Leipoa ocellata,B9057,81.20,19.70,16.10,7.50,8.10,124.50,15.70,12.90,5.70,6.80,75.90,4.30,6.80,,,,,
Leipoa ocellata,B20194,83.90,20.80,17.80,8.80,9.00,125.70,16.50,12.90,6.40,7.70,77.80,5.40,7.10,,,,,
Leipoa ocellata,B20161,84.00,21.50,18.20,8.20,8.40,124.30,17.00,12.60,5.80,7.10,78.60,4.60,7.00,,,,,
Cereopsis novaehollandiae,B20407,89.70,26.10,24.90,10.60,11.00,181.00,21.90,20.10,8.40,10.00,118.60,7.70,8.60,,,,,
Cereopsis novaehollandiae,B34095,95.80,25.00,24.70,9.90,10.90,169.00,19.60,18.30,8.90,10.40,114.20,8.30,8.30,,,,,
Cereopsis novaehollandiae,B13849,91.50,24.90,22.70,10.60,10.10,166.00,19.50,17.00,8.30,10.10,110.70,7.90,7.90,,,,,
Cereopsis novaehollandiae,B31962,95.80,26.10,23.30,10.60,9.90,178.00,21.10,18.10,8.20,9.80,115.40,9.10,9.20,,,,,
Cereopsis novaehollandiae,B24792,89.30,24.00,22.00,11.70,9.80,162.00,18.10,16.30,8.30,9.50,106.60,7.90,8.10,,,,,
Cereopsis novaehollandiae,B10905,88.60,25.30,21.80,9.80,9.50,161.00,18.20,16.20,7.80,9.50,107.40,7.10,7.50,,,,,
Cereopsis novaehollandiae,B8862,93.50,25.20,23.20,12.50,10.50,167.00,19.30,16.80,8.10,9.70,107.70,8.00,8.00,,,,,
Cereopsis novaehollandiae,B10727,91.30,25.70,24.00,12.10,10.30,174.00,20.80,16.80,8.90,11.10,113.20,8.50,9.00,,,,,
Cereopsis novaehollandiae,B8860,103.90,26.00,24.50,10.30,11.50,185.00,21.50,17.70,9.80,10.80,122.70,8.80,9.80,,,,,
Cereopsis novaehollandiae,B25675,91.20,23.70,22.00,10.2,9.90,170.00,18.90,16.70,8.10,9.60,110.50,8.60,7.80,,,,,
Cereopsis novaehollandiae,B20294,100.50,27.60,26.30,12.50,11.40,181.00,21.30,19.90,9.40,10.40,118.90,8.70,9.80,,,,,
Cereopsis novaehollandiae,B24946,92.40,23.90,22.10,11.00,9.90,168.00,18.70,17.20,7.60,9.50,109.00,7.50,8.70,,,,,
Cereopsis novaehollandiae,B11419,89.20,22.60,20.90,9.80,8.90,161.00,18.30,15.60,7.80,9.00,105.90,6.70,7.50,,,,,
Cereopsis novaehollandiae,40906,81.50,22.00,20.50,8.40,9.50,153.00,,16.60,6.30,8.70,100.10,6.20,6.90,,,,,
Cereopsis novaehollandiae,B25672,88.30,24.00,22.10,10.10,10.20,157.00,19.40,17.50,7.90,9.40,104.20,7.10,7.90,,,,,
Cereopsis novaehollandiae,B8858,100.20,27.60,25.00,10.80,11.70,177.00,22.50,18.50,8.90,10.70,118.40,9.10,9.30,,,,,
Cereopsis novaehollandiae,B31605,97.90,25.70,24.10,12.50,10.50,176.00,20.60,17.00,8.40,10.70,116.00,9.00,8.90,,,,,
Cereopsis novaehollandiae,B11418,89.00,24.50,24.00,10.00,10.20,166.00,19.50,16.90,8.30,10.00,110.80,7.60,7.80,,,,,
Cereopsis novaehollandiae,B11392,86.80,23.60,22.60,8.90,9.80,164.00,18.20,17.70,8.60,9.40,106.30,7.10,8.00,,,,,
Cereopsis novaehollandiae,B5124,88.40,23.30,21.20,8.40,9.00,165.00,17.10,16.80,8.00,8.70,105.40,5.90,7.10,,,,,
Cereopsis novaehollandiae,B10904,96.60,26.70,24.00,9.60,10.30,178.00,19.50,17.20,8.40,10.10,120.10,7.80,8.90,,,,,
Cereopsis novaehollandiae,B25676,97.00,28.40,25.50,10.10,10.90,181.00,21.90,19.30,9.10,10.80,111.60,8.20,8.60,,,,,
Cereopsis novaehollandiae,B8859,82.60,21.90,21.00,8.70,8.40,155.00,17.20,16.00,6.80,8.20,103.10,6.80,7.10,,,,,
Cereopsis novaehollandiae,B22238,100.90,26.50,25.40,10.20,10.70,172.00,21.80,18.30,8.00,9.70,114.60,7.80,9.30,,,,,
Cereopsis novaehollandiae,B8861,89.80,23.70,22.90,8.30,9.80,166.00,18.80,16.70,7.10,8.90,11.20,7.10,7.70,,,,,
Genyornis newtoni,SAMA P.53833,268.00,165.00,126.20,46.40,84.40,528.00,,75.30,40.20,47.70,,,,,,,,
Genyornis newtoni,SAMA P.59517,345.00,145.60,156.00,49.20,69.30,534.00,123.50,83.60,36.40,49.90,,,,,,,,
Genyornis newtoni,SAMA P.59516,304.00,172.00,161.00,46.40,74.60,,,81.30,39.40,49.30,,,,,,,,
Genyornis newtoni,FU2763,324.00,163.00,135.80,53.10,67.90,,,,,,352.00,31.50,38.90,,,,,
Genyornis newtoni,SAMA P.59518,,,,,,521.00,,,,,346.00,30.60,42.80,,,,,
Genyornis newtoni,SAMA P.59519,312.00,144.00,147.50,32.40,80.50,547.00,116.50,,46.10,53.00,353.00,48.70,10.50,,,,,
