order,species,specimen no.,fL,tbL,tmtL
Galliformes,Alectura lathami,B46568 ,89.7,134.7,92.1
Anseriformes,Cereopsis novaehollandiae,B39638,82.4,145.2,98.2
Galliformes,Leipoa ocellata,B55458,81.2,112,70.2
Anseriformes,Anseranas semipalmata,B48035,84.4,141.6,102
Casuariiformes,Dromaius novaehollandiae,FUR291,,402,359
Casuariiformes,Dromaius novaehollandiae,FUR293,,434,419
Casuariiformes,Dromaius novaehollandiae,FUR294,238,,
Casuariiformes,Dromaius novaehollandiae,FUR163,226,392,364
Casuariiformes,Casuarius casuarius,FUR180,242,384,299
Struthioniformes,Struthio camelus,B13115,309,507,454
Struthioniformes,Struthio camelus,B14264,299,481,436
Struthioniformes,Struthio camelus,R2711,304,499,486
Struthioniformes,Struthio camelus,B34253,317,540,480
Struthioniformes,Struthio camelus,B747,295,488,465
Struthioniformes,Struthio camelus,R2385,310,513,464
Casuariiformes,Casuarius casuarius,B12907,231,365,289
Casuariiformes,Casuarius casuarius,B13452,236,368,309
Casuariiformes,Dromaius novaehollandiae,B31685,238,414,388
Casuariiformes,Dromaius novaehollandiae,R1815,225,419,391
Casuariiformes,Dromaius novaehollandiae,R4240,223,378,372
Casuariiformes,Dromaius novaehollandiae,B19058,234,425,381
Casuariiformes,Dromaius novaehollandiae,R6947,247,433,412
Casuariiformes,Dromaius novaehollandiae,B12822,218,397,376
Casuariiformes,Dromaius novaehollandiae,B12823,235,391,374
Casuariiformes,Dromaius novaehollandiae,B12543,230,413,389
Anseriformes,Anseranas semipalmata,B8864,80.5,140.4,96
Anseriformes,Anseranas semipalmata,B6361,82.4,136,87.3
Anseriformes,Anseranas semipalmata,B8865,88.3,146,99.6
Anseriformes,Anseranas semipalmata,B18360,88.1,140.8,94.7
Anseriformes,Anseranas semipalmata,B20343,84.2,143.3,94
Anseriformes,Anseranas semipalmata,B34094,89.1,152,102.8
Anseriformes,Anseranas semipalmata,B8863,88.1,154,104.1
Anseriformes,Anseranas semipalmata,B12464,79.4,130.7,86.2
Anseriformes,Anseranas semipalmata,B13074,75.3,125.8,87
Anseriformes,Anseranas semipalmata,B18366,88.2,148.7,102.8
Galliformes,Alectura lathami,B23648,91.9,140.8,100.3
Galliformes,Alectura lathami,B23648,85.4,127.4,86.5
Galliformes,Alectura lathami,B23650,86.7,128.4,88.9
Galliformes,Alectura lathami,B19290,92,137.6,95.1
Galliformes,Alectura lathami,R4288,93.7,144.3,101.3
Galliformes,Alectura lathami,B23649,84.8,130.7,88.7
Galliformes,Leipoa ocellata,B31805,82.6,120.7,71.7
Galliformes,Leipoa ocellata,B6721,76.3,120.5,73.3
Galliformes,Leipoa ocellata,B31806,85.6,126.8,79.8
Galliformes,Leipoa ocellata,B23580,81,,74.3
Galliformes,Leipoa ocellata,B34172,81.7,124.5,76.6
Galliformes,Leipoa ocellata,B34887.1,82.4,126.3,
Galliformes,Leipoa ocellata,B9276,84.5,,75.3
Galliformes,Leipoa ocellata,B9057,81.2,124.5,75.9
Galliformes,Leipoa ocellata,B20194,83.9,125.7,77.8
Galliformes,Leipoa ocellata,B20161,84,124.3,78.6
Anseriformes,Cereopsis novaehollandiae,B20407,89.7,181,118.6
Anseriformes,Cereopsis novaehollandiae,B34095,95.8,169,114.2
Anseriformes,Cereopsis novaehollandiae,B13849,91.5,166,110.7
Anseriformes,Cereopsis novaehollandiae,B31962,95.8,178,115.4
Anseriformes,Cereopsis novaehollandiae,B24792,89.3,162,106.6
