species,bone,mean_length,,,,,,,,,,,,,,,,,,,,
Struthio camelus,femur,305.66667,,,,,,,,,,,,,,,,,,,,
Struthio camelus,tibiotarsus,504.6667,,,,,,,,,,,,,,,,,,,,
Struthio camelus,tarsometatarsus,464.16667,,,,,,,,,,,,,,,,,,,,
Casuarius casuarius,femur,236.33333,,,,,,,,,,,,,,,,,,,,
Casuarius casuarius,tibiotarsus,372.3333,,,,,,,,,,,,,,,,,,,,
Casuarius casuarius,tarsometatarsus,299,,,,,,,,,,,,,,,,,,,,
Dromaius novaehollandiae,femur,231.4,,,,,,,,,,,,,,,,,,,,
Dromaius novaehollandiae,tibiotarsus,408.9091,,,,,,,,,,,,,,,,,,,,
Dromaius novaehollandiae,tarsometatarsus,384.09091,,,,,,,,,,,,,,,,,,,,
Pachyornis elephantopus,femur,305.18182,,,,,,,,,,,,,,,,,,,,
Pachyornis elephantopus,tibiotarsus,546.4545,,,,,,,,,,,,,,,,,,,,
Pachyornis elephantopus,tarsometatarsus,221.36364,,,,,,,,,,,,,,,,,,,,
Dinornis novaezealandiae,femur,326,,,,,,,,,,,,,,,,,,,,
Dinornis novaezealandiae,tibiotarsus,621.5,,,,,,,,,,,,,,,,,,,,
Dinornis novaezealandiae,tarsometatarsus,361.66667,,,,,,,,,,,,,,,,,,,,
Dinornis robustus,femur,335.2069,,,,,,,,,,,,,,,,,,,,
Dinornis robustus,tibiotarsus,688.2069,,,,,,,,,,,,,,,,,,,,
Dinornis robustus,tarsometatarsus,368,,,,,,,,,,,,,,,,,,,,
Mullerornis modestus,femur,205,,,,,,,,,,,,,,,,,,,,
Mullerornis modestus,tibiotarsus,475.2,,,,,,,,,,,,,,,,,,,,
Mullerornis modestus,tarsometatarsus,306.85,,,,,,,,,,,,,,,,,,,,
Aepyornis hildebrandti,femur,258.4,,,,,,,,,,,,,,,,,,,,
Aepyornis hildebrandti,tibiotarsus,,,,,,,,,,,,,,,,,,,,,
Aepyornis hildebrandti,tarsometatarsus,310.24,,,,,,,,,,,,,,,,,,,,
Aepyornis maximus,femur,338.89,,,,,,,,,,,,,,,,,,,,
Aepyornis maximus,tibiotarsus,614.2,,,,,,,,,,,,,,,,,,,,
Aepyornis maximus,tarsometatarsus,399.75,,,,,,,,,,,,,,,,,,,,
Alectura lathami,femur,89.17143,,,,,,,,,,,,,,,,,,,,
Alectura lathami,tibiotarsus,134.8429,,,,,,,,,,,,,,,,,,,,
Alectura lathami,tarsometatarsus,93.27143,,,,,,,,,,,,,,,,,,,,
Leipoa ocellata,femur,82.21818,,,,,,,,,,,,,,,,,,,,
Leipoa ocellata,tibiotarsus,122.8111,,,,,,,,,,,,,,,,,,,,
Leipoa ocellata,tarsometatarsus,75.35,,,,,,,,,,,,,,,,,,,,
Anseranas semipalmata,femur,84.36364,,,,,,,,,,,,,,,,,,,,
Anseranas semipalmata,tibiotarsus,141.7545,,,,,,,,,,,,,,,,,,,,
Anseranas semipalmata,tarsometatarsus,96.04545,,,,,,,,,,,,,,,,,,,,
Cereopsis novaehollandiae,femur,92.08077,,,,,,,,,,,,,,,,,,,,
Cereopsis novaehollandiae,tibiotarsus,168.3923,,,,,,,,,,,,,,,,,,,,
Cereopsis novaehollandiae,tarsometatarsus,110.76154,,,,,,,,,,,,,,,,,,,,
Dinornis stirtoni,femur,365,,,,,,,,,,,,,,,,,,,,
Dinornis stirtoni,tibiotarsus,736,,,,,,,,,,,,,,,,,,,,
Dinornis stirtoni,tarsometatarsus,412,,,,,,,,,,,,,,,,,,,,
Illbandornis woodburnei,femur,299.2,,,,,,,,,,,,,,,,,,,,
Illbandornis woodburnei,tibiotarsus,508.6,,,,,,,,,,,,,,,,,,,,
Illbandornis woodburnei,tarsometatarsus,349.9,,,,,,,,,,,,,,,,,,,,
Illbandornis lawsoni,femur,266.5,,,,,,,,,,,,,,,,,,,,
Illbandornis lawsoni,tibiotarsus,505,,,,,,,,,,,,,,,,,,,,
Illbandornis lawsoni,tarsometatarsus,421.8,,,,,,,,,,,,,,,,,,,,
Genyornis newtoni,femur,310.6,,,,,,,,,,,,,,,,,,,,
Genyornis newtoni,tibiotarsus,532.5,,,,,,,,,,,,,,,,,,,,
Genyornis newtoni,tarsometatarsus,350.33333,,,,,,,,,,,,,,,,,,,,
