species,bone,mean_length
Struthio camelus,Femur,305.66667
Struthio camelus,Tibiotarsus,504.6667
Struthio camelus,Tarsometatarsus,464.16667
Casuarius casuarius,Femur,236.33333
Casuarius casuarius,Tibiotarsus,372.3333
Casuarius casuarius,Tarsometatarsus,299
Dromaius novaehollandiae,Femur,231.4
Dromaius novaehollandiae,Tibiotarsus,408.9091
Dromaius novaehollandiae,Tarsometatarsus,384.09091
Pachyornis elephantopus,Femur,305.18182
Pachyornis elephantopus,Tibiotarsus,546.4545
Pachyornis elephantopus,Tarsometatarsus,221.36364
Dinornis novaezealandiae,Femur,326
Dinornis novaezealandiae,Tibiotarsus,621.5
Dinornis novaezealandiae,Tarsometatarsus,361.66667
Dinornis robustus,Femur,335.2069
Dinornis robustus,Tibiotarsus,688.2069
Dinornis robustus,Tarsometatarsus,368
Mullerornis modestus,Femur,205
Mullerornis modestus,Tibiotarsus,475.2
Mullerornis modestus,Tarsometatarsus,306.85
Aepyornis maximus,Femur,338.89
Aepyornis maximus,Tibiotarsus,614.2
Aepyornis maximus,Tarsometatarsus,399.75
Alectura lathami,Femur,89.17143
Alectura lathami,Tibiotarsus,134.8429
Alectura lathami,Tarsometatarsus,93.27143
Leipoa ocellata,Femur,82.21818
Leipoa ocellata,Tibiotarsus,122.8111
Leipoa ocellata,Tarsometatarsus,75.35
Anseranas semipalmata,Femur,84.36364
Anseranas semipalmata,Tibiotarsus,141.7545
Anseranas semipalmata,Tarsometatarsus,96.04545
Cereopsis novaehollandiae,Femur,92.08077
Cereopsis novaehollandiae,Tibiotarsus,168.3923
Cereopsis novaehollandiae,Tarsometatarsus,110.76154
Anhima cornuta,Femur,91.3
Anhima cornuta,Tibiotarsus,176
Anhima cornuta,Tarsometatarsus,115.6
Dinornis stirtoni,Femur,365
Dinornis stirtoni,Tibiotarsus,736
Dinornis stirtoni,Tarsometatarsus,412
Illbandornis woodburnei,Femur,299.2
Illbandornis woodburnei,Tibiotarsus,508.6
Illbandornis woodburnei,Tarsometatarsus,349.9
Illbandornis lawsoni,Femur,266.5
Illbandornis lawsoni,Tibiotarsus,505
Illbandornis lawsoni,Tarsometatarsus,421.8
Genyornis newtoni,Femur,310.6
Genyornis newtoni,Tibiotarsus,532.5
Genyornis newtoni,Tarsometatarsus,350.33333
