order,species,specimen no.,tmtL,tmtD-P,tmtM-L
Galliformes,Alectura lathami,B46568 ,92.1,4.4,6.8
Anseriformes,Cereopsis novaehollandiae,B39638,98.2,7.3,7.6
Galliformes,Leipoa ocellata,B55458,70.2,4.5,7.2
Anseriformes,Anseranas semipalmata,B48035,102,4.3,7.4
Casuariiformes,Dromaius novaehollandiae,FUR291,359,20,17.5
Casuariiformes,Dromaius novaehollandiae,FUR293,419,20.6,18.8
Casuariiformes,Dromaius novaehollandiae,FUR294,,,
Casuariiformes,Dromaius novaehollandiae,FUR163,364,17.6,16.6
Casuariiformes,Casuarius casuarius,FUR180,299,22.3,24.2
Struthioniformes,Struthio camelus,B13115,454,24.4,29.2
Struthioniformes,Struthio camelus,B14264,436,26.1,29.2
Struthioniformes,Struthio camelus,R2711,486,27.4,28.8
Struthioniformes,Struthio camelus,B34253,480,23.7,28.9
Struthioniformes,Struthio camelus,B747,465,16.4,23.8
Struthioniformes,Struthio camelus,R2385,464,24.2,30.6
Casuariiformes,Casuarius casuarius,B12907,289,24.3,26.5
Casuariiformes,Casuarius casuarius,B13452,309,22.7,27.6
Casuariiformes,Dromaius novaehollandiae,B31685,388,20.2,28.5
Casuariiformes,Dromaius novaehollandiae,R1815,391,17.6,19.4
Casuariiformes,Dromaius novaehollandiae,R4240,372,18.6,17.3
Casuariiformes,Dromaius novaehollandiae,B19058,381,21.1,19.7
Casuariiformes,Dromaius novaehollandiae,R6947,412,20.2,17.9
Casuariiformes,Dromaius novaehollandiae,B12822,376,18,17.1
Casuariiformes,Dromaius novaehollandiae,B12823,374,23.3,16.7
Casuariiformes,Dromaius novaehollandiae,B12543,389,21.2,18
Anseriformes,Anseranas semipalmata,B8864,96,4.8,6.3
Anseriformes,Anseranas semipalmata,B6361,87.3,5.2,6.9
Anseriformes,Anseranas semipalmata,B8865,99.6,5.6,7.2
Anseriformes,Anseranas semipalmata,B18360,94.7,5.4,6.9
Anseriformes,Anseranas semipalmata,B20343,94,5.4,6.6
Anseriformes,Anseranas semipalmata,B34094,102.8,6.2,6.9
Anseriformes,Anseranas semipalmata,B8863,104.1,5.6,7.4
Anseriformes,Anseranas semipalmata,B12464,86.2,5.2,6.5
Anseriformes,Anseranas semipalmata,B13074,87,4.8,6.9
Anseriformes,Anseranas semipalmata,B18366,102.8,6.9,7.5
Galliformes,Alectura lathami,B23648,100.3,5,7.3
Galliformes,Alectura lathami,B23648,86.5,4.3,6.4
Galliformes,Alectura lathami,B23650,88.9,3.2,5.9
Galliformes,Alectura lathami,B19290,95.1,4.2,6.8
